TITLE, HOURS PLAYED, PERCENTAGE ACHIEVEMENTS, DATE LAST PLAYED
Valiant Hearts: The Great War™ / Soldats Inconnus : Mémoires de la Grande Guerre™, 52.8, 0.0%, 2015-10-14
Killer is Dead, 24.4, 4.2%, 2016-09-18
Lethal League, 5.9, 8.7%, 2022-10-17
Darkest Dungeon®, 8.0, 5.8%, 2019-12-07
Crimsonland, 14.0, 0.0%, 2015-08-21
Broken Sword 5 - the Serpent's Curse, 23.9, 0.0%, 2016-09-17
Castle In The Darkness, 5.4, 27.3%, 2024-01-14
Spintires®, 26.9, 0.0%, 2016-04-04
Enola, 5.6, N/A, 2015-10-20
Wyv and Keep: The Temple of the Lost Idol, 11.9, N/A, 2016-02-04
CONSORTIUM 2014, 10.8, 0.0%, 2015-09-25
Lords Of The Fallen, 6.7, 3.6%, 2019-03-22
The Red Solstice, 20.6, 0.0%, 2016-07-31
GameGuru Classic, 5.0, N/A, 2022-04-02
Hand of Fate, 5.0, 1.9%, 2017-10-31
Batman™: Arkham Origins Blackgate - Deluxe Edition, 8.0, 3.3%, 2019-02-12
Shadowrun Chronicles - Boston Lockdown, 10.9, 0.0%, 2016-03-11
Satellite Reign, 21.2, 0.0%, 2016-07-31
Secrets of Grindea, 86.2, 20.3%, 2024-10-08
AR-K, 10.5, 0.0%, 2015-07-04
1Heart, 30.5, 4.5%, 2015-06-28
Offworld Trading Company, 19.5, 0.0%, 2017-08-16
Broforce, 19.1, 17.6%, 2025-08-05
Always Sometimes Monsters, 13.7, 10.0%, 2016-11-19
Guacamelee! Super Turbo Championship Edition, 143.6, 73.3%, 2024-02-09
Chip, 7.7, 9.1%, 2015-07-10
Diehard Dungeon, 10.1, 0.0%, 2016-02-16
Shantae: Risky's Revenge - Director's Cut, 6.1, 7.7%, 2015-06-26
RIVE, 11.9, 2.3%, 2017-04-07
Joe Dever's Lone Wolf HD Remastered, 24.4, 0.0%, 2016-09-18
The Troma Project, 6.4, N/A, 2019-03-01
The I of the Dragon, 8.0, N/A, 2015-12-31
A Wizard's Lizard, 49.8, 45.0%, 2016-06-28
Stellaris, 15.4, 0.0%, 2017-06-02
Fearless Fantasy, 5.0, 4.2%, 2015-11-20
Super Chibi Knight, 5.5, 12.5%, 2020-05-23
Salt and Sanctuary, 22.1, 10.8%, 2020-08-25
Robot Rescue Revolution, 10.1, 0.0%, 2015-09-30
Showtime!, 5.9, N/A, 2016-11-03
Between Me and The Night, 6.4, 11.1%, 2016-11-02
Warhammer 40:000: Dawn of War III, 17.4, 0.0%, 2018-01-08
Tooth and Tail, 6.3, 5.3%, 2019-12-08
ReignMaker, 8.8, 6.5%, 2015-08-07
TY the Tasmanian Tiger 4, 5.0, 6.2%, 2016-02-07
TransOcean: The Shipping Company, 25.9, 0.0%, 2016-04-04
Armello, 20.1, 0.0%, 2017-07-15
Akane the Kunoichi, 11.7, 28.6%, 2016-01-17
Royal Defense, 10.9, 0.0%, 2016-11-15
Pillars of Eternity, 19.4, 0.0%, 2017-08-16
Kero Blaster, 20.1, 0.0%, 2023-01-16
Overcast - Walden and the Werewolf, 6.6, N/A, 2015-11-18
Cosmochoria, 14.3, 3.6%, 2015-09-25
Road Not Taken, 22.0, 70.0%, 2019-12-16
Loot Hero DX, 5.3, 80.0%, 2016-01-15
Crowntakers, 10.7, 0.0%, 2015-08-21
Never Alone (Kisima Ingitchuna), 6.0, 15.8%, 2017-03-03
Olympia Rising, 6.3, N/A, 2016-04-16
GemCraft - Chasing Shadows, 6.9, 1.4%, 2016-02-12
Real Boxing™, 6.7, 9.1%, 2015-08-03
Dreaming Sarah, 17.8, 9.1%, 2016-08-16
Renowned Explorers: International Society, 14.4, 0.0%, 2016-04-22
Heavy Bullets, 12.8, 5.9%, 2016-11-22
GALAK-Z, 10.2, 5.7%, 2016-08-22
Frederic: Resurrection of Music, 7.2, 5.6%, 2015-07-15
Ryse: Son of Rome, 5.2, 4.1%, 2017-02-07
Of Guards And Thieves, 13.8, 0.0%, 2017-12-08
Momodora III, 14.3, 0.0%, 2024-01-28
TRISTOY, 5.6, 8.0%, 2015-08-22
Roundabout, 12.1, 0.0%, 2016-09-03
INSIDE, 5.5, 14.3%, 2021-01-08
Qora, 7.2, 60.0%, 2017-09-30
The Elder Scrolls Online, 6.2, N/A, 2017-10-29
