TITLE, HOURS PLAYED, PERCENTAGE ACHIEVEMENTS, DATE LAST PLAYED
Unforgiving Trials: The Space Crusade, 8.7, N/A, 2016-11-21
Magnetized, 21.8, 0.0%, 2017-07-15
Bric, 9.2, N/A, 2017-07-14
Octave, 6.2, N/A, 2016-12-14
Lara Croft GO, 8.7, 29.4%, 2020-11-07
Forgotton Anne, 7.2, 6.1%, 2018-07-25
The Land of Dasthir, 12.7, 0.0%, 2017-03-04
Xenus 2. White gold., 5.2, N/A, 2017-01-19
Town of Night, 12.9, N/A, 2017-03-04
Iron Crypticle, 6.8, 7.9%, 2018-04-06
Mankind Defender, 9.0, N/A, 2017-01-20
Fresh Body, 5.3, 6.9%, 2017-12-06
Project Abyss, 5.6, 3.4%, 2017-02-06
The Sexy Brutale, 7.4, 5.6%, 2017-12-03
TUNIC, 6.8, 19.4%, 2025-02-19
Germ Wars, 5.6, 1.8%, 2017-03-03
Rakuen, 22.6, 0.0%, 2017-08-24
Wayward Souls, 5.3, 9.7%, 2019-12-08
The Inner Darkness, 7.0, N/A, 2017-05-15
Access Denied, 22.4, 28.6%, 2017-04-27
Introvert Quest, 5.9, N/A, 2017-05-10
Tyrfing Cycle, 8.9, 6.7%, 2017-01-20
Bud Spencer & Terence Hill - Slaps And Beans, 5.9, 2.9%, 2024-09-10
Adventuring gentleman, 13.7, 4.5%, 2017-07-13
Fighters Unleashed, 5.2, N/A, 2021-03-24
Santa Rockstar Steam Edition, 5.4, N/A, 2022-02-09
SteamWorld Dig 2, 35.2, 76.5%, 2020-10-21
Golf It!, 6.7, 2.3%, 2024-01-31
Flame of Memory, 5.0, N/A, 2017-07-23
1979 Invasion Earth, 7.2, 13.3%, 2017-02-28
Drunken Fight Simulator, 5.7, N/A, 2021-01-14
2 Ninjas 1 Cup, 22.6, 10.0%, 2017-07-05
Witchcraft, 6.0, N/A, 2017-12-22
Alpacapaca Dash, 5.5, 23.1%, 2017-03-01
Old Man's Journey, 5.4, N/A, 2020-01-21
Zombie Ballz, 24.7, 0.0%, 2017-04-07
Passpartout: The Starving Artist, 5.0, 16.0%, 2017-12-02
The End Is Nigh, 7.8, 0.9%, 2024-09-07
Steampunk Syndicate, 5.3, N/A, 2017-07-15
WayOut 2: Hex, 14.1, 5.0%, 2017-09-26
Dead Drop, 5.5, N/A, 2021-01-13
Dead Cells, 177.1, 38.0%, 2024-04-22
Planetoid, 24.6, N/A, 2017-04-07
CPU Invaders, 22.1, 0.0%, 2017-07-15
Yuppie Psycho, 5.2, 6.2%, 2019-05-02
World of One, 6.0, 5.3%, 2017-07-10
The Vagrant, 7.3, 2.5%, 2019-02-24
Lost Words: Beyond the Page, 7.4, 66.7%, 2022-12-15
Molemen Must Die!, 21.7, 16.7%, 2017-07-05
Skautfold: Usurper, 6.5, 5.6%, 2018-11-07
Tank Destroyer, 7.0, N/A, 2017-08-28
Star of Providence, 5.3, 3.8%, 2023-11-24
Psebay, 19.2, 0.0%, 2017-08-16
Minit, 6.0, 33.3%, 2019-11-13
Star Story: The Horizon Escape, 5.6, 2.5%, 2019-02-28
Bravery: Rise of The Last Hero, 22.4, 7.7%, 2017-06-30
Runic Rampage, 12.6, 58.1%, 2017-09-18
Remnant: From the Ashes, 5.7, 4.0%, 2023-07-25
Boss Defiance, 14.3, 12.5%, 2017-10-31
The Swords of Ditto: Mormo's Curse, 36.4, 50.0%, 2022-03-08
Freaky Awesome, 7.5, 2.4%, 2017-11-29
A SECOND BEFORE US, 14.3, 0.0%, 2017-09-26
Injustice™ 2, 6.8, 1.4%, 2024-09-12
Mana Spark, 7.5, 10.0%, 2019-10-21
Risk of Rain 2, 24.0, 1.3%, 2022-12-29
Nongünz, 19.9, 3.8%, 2017-08-23
Last Day of June, 6.3, 9.5%, 2018-04-05
60 Parsecs!, 7.6, 2.3%, 2019-12-09
Slay the Spire, 14.1, 6.5%, 2020-09-14
UnderMine, 8.6, 4.2%, 2022-06-07
ClickRaid, 7.3, 0.8%, 2017-11-13
Warsim: The Realm of Aslona, 5.9, N/A, 2018-11-07
My Time at Portia, 9.1, 1.1%, 2020-12-19
8Doors: Arum's Afterlife Adventure, 11.8, 4.5%, 2021-05-28
Rise of Industry, 12.2, 0.0%, 2021-01-17
GRIS, 6.2, 5.9%, 2025-01-30
Sword Legacy Omen, 6.3, 8.3%, 2019-12-12
Fell Seal: Arbiter's Mark, 11.0, 0.0%, 2020-08-23
Kingdom Two Crowns, 5.4, 10.9%, 2022-02-08
Planet Zoo, 10.6, 5.3%, 2022-11-15
Don't Sink, 6.8, 6.7%, 2019-12-09
Darksiders Genesis, 11.3, 0.0%, 2021-06-05
PUSS!, 5.5, 4.0%, 2019-12-08
Vigil: The Longest Night, 6.5, 4.3%, 2025-09-02
Overcooked! 2, 10.7, 0.0%, 2021-12-14
Wytchwood, 43.1, 100.0%, 2022-03-14
Raji: An Ancient Epic, 6.2, 9.5%, 2022-11-12
Crash Bandicoot™ N. Sane Trilogy, 7.8, 2.7%, 2020-12-19
Neversong, 15.7, 36.4%, 2023-03-26
Temtem, 18.2, 0.0%, 2023-07-10
Forager, 8.0, 10.7%, 2021-06-29
Sable, 10.9, 8.9%, 2023-07-02
EARTHLOCK, 13.8, 0.0%, 2021-01-10
Red Solstice 2: Survivors, 11.6, 0.0%, 2022-04-02
Warhammer: Chaosbane, 18.7, 2.3%, 2021-02-05
Blasphemous, 7.1, 2.2%, 2022-02-20
Unruly Heroes, 6.0, 11.5%, 2020-08-23
Rogue Heroes: Ruins of Tasos, 67.0, 82.1%, 2022-05-28
Neon Abyss, 5.3, 2.9%, 2022-02-08
Levelhead, 18.3, 0.0%, 2021-11-14
Destroy All Humans!, 5.5, 10.0%, 2022-11-13
Shining Resonance Refrain, 11.6, 4.3%, 2021-02-05
Yakuza Kiwami, 8.7, 1.8%, 2020-12-19
Batbarian: Testament of the Primordials, 7.2, 4.0%, 2022-02-08
Garden Paws, 11.7, 0.0%, 2023-05-15
Yooka-Laylee and the Impossible Lair, 5.7, 2.1%, 2021-02-05
Gravity Circuit, 6.2, 1.9%, 2025-04-10
The Eternal Cylinder, 10.1, 8.3%, 2025-02-01
Control Ultimate Edition, 7.7, 1.5%, 2023-05-12
The Battle of Polytopia, 9.9, N/A, 2021-07-16
GARAGE: Bad Trip, 6.9, 4.8%, 2022-02-08
Death's Door, 48.8, 83.3%, 2022-11-04
Reventure, 7.6, 12.9%, 2021-01-08
Summer Catchers, 5.2, 2.5%, 2024-01-31
Swag and Sorcery, 5.3, 2.1%, 2022-02-14
INMOST, 10.2, 44.8%, 2020-08-23
The Dark Pictures Anthology: Man of Medan, 5.7, 3.3%, 2022-10-04
Colt Canyon, 6.2, 2.5%, 2023-01-16
Minoria, 5.9, 6.7%, 2021-02-05
Death Trash, 18.9, 35.7%, 2022-09-17
Sparklite, 39.4, 100.0%, 2019-12-13
Spiritfarer®: Farewell Edition, 27.6, 20.5%, 2025-08-04
Legend of Keepers, 17.2, 0.0%, 2022-11-26
Just Die Already, 11.6, 0.0%, 2022-02-12
Spyro™ Reignited Trilogy, 12.0, 1.0%, 2020-12-19
Ring of Pain, 5.5, 0.7%, 2023-01-16
Tools Up!, 5.2, 3.1%, 2022-06-02
KungFu Kickball, 5.2, 7.7%, 2024-01-29
Terror of Hemasaurus, 7.9, 40.0%, 2024-02-23
Devil Slayer - Raksasi, 5.7, 2.5%, 2019-12-07
Evoland Legendary Edition, 7.9, 27.7%, 2021-02-05
Lamentum, 7.5, 21.1%, 2022-02-08
Merchant of the Skies, 5.4, 16.7%, 2023-07-09
Kingdoms of Amalur: Re-Reckoning, 11.0, 1.4%, 2023-01-16
Pilgrims, 6.8, 31.1%, 2020-04-09
River City Girls, 6.5, 3.4%, 2023-10-09
Ori and the Will of the Wisps, 6.1, 2.7%, 2024-05-15
Conan Chop Chop, 17.0, 33.3%, 2024-08-12
Meteorfall: Krumit's Tale, 6.0, 5.9%, 2025-09-27
Figment 2: Creed Valley, 5.3, 5.6%, 2025-04-19
The Gunk, 5.0, 11.8%, 2024-01-29
Stranger Things 3: The Game, 7.3, 12.9%, 2019-12-06
Monster Train, 10.5, 3.8%, 2022-11-13
Eldest Souls, 17.1, 10.0%, 2023-02-19
Mortal Shell, 5.7, 2.7%, 2023-05-12
Persona 4 Golden, 12.3, 0.0%, 2025-02-01
Builder Simulator, 10.6, 0.0%, 2023-07-13
GRIME, 5.6, 8.5%, 2023-07-08
Iris and the giant, 10.3, 12.5%, 2021-01-07
Unpacking, 6.8, 4.0%, 2024-01-30
ATOM RPG Trudograd, 7.7, 3.1%, 2022-11-13
Arietta of Spirits, 15.3, 93.3%, 2025-07-11
Skul: The Hero Slayer, 7.3, 1.0%, 2021-02-05
Going Under, 5.0, 4.3%, 2025-09-27
Foretales, 10.2, 0.0%, 2023-09-19
Carto, 9.4, 5.0%, 2022-12-15
INDUSTRIA, 5.2, 21.7%, 2022-11-11
Pathfinder: Wrath of the Righteous - Enhanced Edition, 13.5, 0.0%, 2023-05-15
Pumpkin Jack, 8.3, 16.7%, 2023-09-19
Turnip Boy Commits Tax Evasion, 5.2, 24.3%, 2022-02-09
Alwa's Legacy, 40.2, 58.3%, 2020-09-07
Mr. Sun's Hatbox, 5.0, 5.6%, 2025-02-01
Coromon, 5.5, 2.5%, 2025-02-01
Sir Whoopass™: Immortal Death, 19.7, 61.4%, 2025-03-15
Destroy All Humans! 2 - Reprobed, 5.8, 2.3%, 2024-02-08
Astral Ascent, 6.2, 5.6%, 2024-09-24
Remnant II, 5.1, 1.5%, 2025-01-30
SpongeBob SquarePants: The Cosmic Shake, 7.5, 2.3%, 2024-09-10
Pronty, 10.0, 2.3%, 2024-01-25
Toodee and Topdee, 7.9, 4.8%, 2024-01-29
Greak: Memories of Azur, 9.6, 4.2%, 2023-12-29
Cult of the Lamb, 61.3, 45.8%, 2024-08-12
McPixel 3, 7.1, 5.4%, 2025-04-16
Five Dates, 5.0, 20.0%, 2023-05-11
ENDER LILIES: Quietus of the Knights, 5.5, 7.9%, 2024-01-25
Grow: Song of the Evertree, 5.5, 4.5%, 2023-05-12
Persona 5 Strikers, 8.3, 2.1%, 2025-01-30
Arcade Paradise, 9.7, 3.7%, 2023-08-07
Luck be a Landlord, 11.8, 0.0%, 2025-09-27
The Legend of Tianding, 7.5, 3.8%, 2024-01-28
Nobody Saves the World, 111.6, 97.6%, 2024-02-09
Cozy Grove, 18.9, 21.4%, 2022-09-08
A Guidebook Of Babel, 5.3, 5.3%, 2024-09-09
Ghostwire: Tokyo, 6.5, 1.5%, 2023-07-08
Luna's Fishing Garden, 5.7, 14.3%, 2023-08-28
Dead Estate, 6.4, 1.5%, 2023-10-02
From Space, 7.7, 2.4%, 2024-01-31
Batora: Lost Haven, 6.8, 3.3%, 2023-07-25
Transiruby, 29.9, 72.2%, 2025-03-26
Blast Brigade vs. the Evil Legion of Dr. Cread, 29.4, 21.2%, 2025-04-07
DREDGE, 39.9, 56.7%, 2024-11-05
Tinykin, 6.7, 2.3%, 2024-01-31
Core Keeper, 158.0, 25.5%, 2025-09-15
Islets, 23.7, 84.1%, 2022-09-05
Into the Necrovale, 9.5, 6.7%, 2025-10-05
Momodora: Moonlit Farewell, 32.4, 84.2%, 2024-01-28
Blossom Tales 2: The Minotaur Prince, 66.5, 90.0%, 2024-10-08
Vampire Survivors, 5.5, 1.3%, 2024-11-23
DAVE THE DIVER, 12.4, 11.6%, 2024-01-28
Pizza Possum, 6.2, 28.6%, 2025-07-11
Kena: Bridge of Spirits, 8.2, 2.4%, 2025-04-15
20 Minutes Till Dawn, 10.3, 2.9%, 2023-08-28
Tiny Rogues, 49.3, 17.4%, 2023-10-04
Bosorka, 7.1, 10.0%, 2025-09-02
Mr. Run and Jump, 6.3, 6.1%, 2025-01-30
Warhammer 40:000: Rogue Trader, 11.5, 0.0%, 2025-09-26
Crypt Custodian, 34.2, 91.7%, 2024-09-24
Legacy of Kain™ Soul Reaver 1&2 Remastered, 8.2, 1.2%, 2025-09-25
ENDER MAGNOLIA: Bloom in the Mist, 5.2, 10.0%, 2025-09-25
